Round Number,Date,Location,Home Team,Away Team,Result
2,24/01/2021 06:00,Enterprise Center,St. Louis Blues,Los Angeles Kings,
2,24/01/2021 06:00,Bell MTS Place,Winnipeg Jets,Edmonton Oilers,
2,24/01/2021 06:00,Xcel Energy Center,Minnesota Wild,San Jose Sharks,
2,24/01/2021 06:00,American Airlines Center,Dallas Stars,Nashville Predators,
2,24/01/2021 07:00,Scotiabank Saddledome,Calgary Flames,Toronto Maple Leafs,
2,24/01/2021 07:00,Gila River Arena,Arizona Coyotes,Vegas Golden Knights,
2,24/01/2021 08:00,Prudential Center,New Jersey Devils,New York Islanders,
2,24/01/2021 08:00,Capital One Arena,Washington Capitals,Buffalo Sabres,
2,24/01/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New York Rangers,
2,24/01/2021 08:00,Honda Center,Anaheim Ducks,Colorado Avalanche,
2,25/01/2021 08:00,Rogers Arena,Vancouver Canucks,Ottawa Senators,
2,26/01/2021 06:00,Bridgestone Arena,Nashville Predators,Chicago Blackhawks,
2,26/01/2021 06:00,Bell MTS Place,Winnipeg Jets,Edmonton Oilers,
2,26/01/2021 06:00,Xcel Energy Center,Minnesota Wild,Los Angeles Kings,
2,26/01/2021 06:00,American Airlines Center,Dallas Stars,Detroit Red Wings,
2,26/01/2021 07:00,Scotiabank Saddledome,Calgary Flames,Toronto Maple Leafs,
2,26/01/2021 07:00,Ball Arena,Colorado Avalanche,San Jose Sharks,
2,26/01/2021 07:00,Gila River Arena,Arizona Coyotes,Anaheim Ducks,
2,26/01/2021 08:00,TD Garden,Boston Bruins,Pittsburgh Penguins,
2,26/01/2021 08:00,KeyBank Center,Buffalo Sabres,New York Rangers,
2,26/01/2021 08:00,Prudential Center,New Jersey Devils,Philadelphia Flyers,
2,26/01/2021 08:00,Capital One Arena,Washington Capitals,New York Islanders,
2,26/01/2021 08:00,PNC Arena,Carolina Hurricanes,Tampa Bay Lightning,
2,26/01/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Florida Panthers,
2,26/01/2021 08:00,T-Mobile Arena,Vegas Golden Knights,St. Louis Blues,
3,27/01/2021 06:00,Bridgestone Arena,Nashville Predators,Chicago Blackhawks,
3,27/01/2021 08:00,Rogers Arena,Vancouver Canucks,Ottawa Senators,
3,28/01/2021 06:00,Xcel Energy Center,Minnesota Wild,Los Angeles Kings,
3,28/01/2021 06:00,American Airlines Center,Dallas Stars,Detroit Red Wings,
3,28/01/2021 07:00,Rogers Place,Edmonton Oilers,Toronto Maple Leafs,
3,28/01/2021 07:00,Ball Arena,Colorado Avalanche,San Jose Sharks,
3,28/01/2021 07:00,Gila River Arena,Arizona Coyotes,Anaheim Ducks,
3,28/01/2021 08:00,TD Garden,Boston Bruins,Pittsburgh Penguins,
3,28/01/2021 08:00,KeyBank Center,Buffalo Sabres,New York Rangers,
3,28/01/2021 08:00,Prudential Center,New Jersey Devils,Philadelphia Flyers,
3,28/01/2021 08:00,Capital One Arena,Washington Capitals,New York Islanders,
3,28/01/2021 08:00,PNC Arena,Carolina Hurricanes,Tampa Bay Lightning,
3,28/01/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Florida Panthers,
3,28/01/2021 08:00,Centre Bell,Montréal Canadiens,Calgary Flames,
3,28/01/2021 08:00,Rogers Arena,Vancouver Canucks,Ottawa Senators,
3,28/01/2021 08:00,T-Mobile Arena,Vegas Golden Knights,St. Louis Blues,
3,29/01/2021 06:00,United Center,Chicago Blackhawks,Columbus Blue Jackets,
3,30/01/2021 06:00,Bell MTS Place,Winnipeg Jets,Vancouver Canucks,
3,30/01/2021 06:00,Xcel Energy Center,Minnesota Wild,Colorado Avalanche,
3,30/01/2021 07:00,Rogers Place,Edmonton Oilers,Toronto Maple Leafs,
3,30/01/2021 08:00,KeyBank Center,Buffalo Sabres,New Jersey Devils,
3,30/01/2021 08:00,Madison Square Garden,New York Rangers,Pittsburgh Penguins,
3,30/01/2021 08:00,Wells Fargo Center,Philadelphia Flyers,New York Islanders,
3,30/01/2021 08:00,Capital One Arena,Washington Capitals,Boston Bruins,
3,30/01/2021 08:00,PNC Arena,Carolina Hurricanes,Dallas Stars,
3,30/01/2021 08:00,Amalie Arena,Tampa Bay Lightning,Nashville Predators,
3,30/01/2021 08:00,Little Caesars Arena,Detroit Red Wings,Florida Panthers,
3,30/01/2021 08:00,Centre Bell,Montréal Canadiens,Calgary Flames,
3,30/01/2021 08:00,Honda Center,Anaheim Ducks,St. Louis Blues,
3,31/01/2021 06:00,United Center,Chicago Blackhawks,Columbus Blue Jackets,
3,31/01/2021 06:00,Xcel Energy Center,Minnesota Wild,Colorado Avalanche,
3,31/01/2021 07:00,Rogers Place,Edmonton Oilers,Ottawa Senators,
3,31/01/2021 08:00,KeyBank Center,Buffalo Sabres,New Jersey Devils,
3,31/01/2021 08:00,Wells Fargo Center,Philadelphia Flyers,New York Islanders,
3,31/01/2021 08:00,PNC Arena,Carolina Hurricanes,Dallas Stars,
3,31/01/2021 08:00,Little Caesars Arena,Detroit Red Wings,Florida Panthers,
3,31/01/2021 08:00,Honda Center,Anaheim Ducks,St. Louis Blues,
3,01/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Calgary Flames,
3,01/02/2021 08:00,Madison Square Garden,New York Rangers,Pittsburgh Penguins,
