Round Number,Date,Location,Home Team,Away Team,Result
7,27/02/2021 07:00,Gila River Arena,Arizona Coyotes,Colorado Avalanche,
7,27/02/2021 08:00,Prudential Center,New Jersey Devils,Washington Capitals,
7,27/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Pittsburgh Penguins,
7,27/02/2021 08:00,Amalie Arena,Tampa Bay Lightning,Dallas Stars,
7,27/02/2021 08:00,BB&T Center,Florida Panthers,Carolina Hurricanes,
7,27/02/2021 08:00,Canadian Tire Centre,Ottawa Senators,Calgary Flames,
7,27/02/2021 08:00,Honda Center,Anaheim Ducks,Vegas Golden Knights,
7,27/02/2021 08:00,SAP Center at San Jose,San Jose Sharks,St. Louis Blues,
7,28/02/2021 06:00,United Center,Chicago Blackhawks,Detroit Red Wings,
7,28/02/2021 06:00,Bridgestone Arena,Nashville Predators,Columbus Blue Jackets,
